epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,5963,1.84303,1.20499,0.98693,0.82389,0.71214,0.78403,0.34075,1.91995,1.15755,0.97834,0.000271215,0.000271215,0.000271215
98,6023.63,1.83373,1.17863,0.98383,0.839,0.71,0.78516,0.34552,1.94259,1.16059,0.97931,0.000253206,0.000253206,0.000253206
99,6084.26,1.82417,1.19333,0.98131,0.86281,0.72556,0.80229,0.35351,1.93677,1.12796,0.97543,0.000235198,0.000235198,0.000235198
100,6144.9,1.81223,1.17656,0.97623,0.87003,0.69914,0.79517,0.34734,1.92346,1.1383,0.97793,0.00021719,0.00021719,0.00021719
101,6207.9,1.79862,1.1701,0.97618,0.84006,0.70667,0.78185,0.33827,1.92173,1.15207,0.97609,0.000199182,0.000199182,0.000199182
102,6268.82,1.77849,1.15538,0.97188,0.84904,0.71778,0.78861,0.34661,1.91625,1.15287,0.9758,0.000181174,0.000181174,0.000181174
103,6330.07,1.78251,1.15195,0.98169,0.8319,0.7313,0.7853,0.34459,1.93508,1.1636,0.97853,0.000163165,0.000163165,0.000163165
104,6391.32,1.75952,1.11217,0.97751,0.83299,0.72046,0.78555,0.34442,1.94278,1.15782,0.97782,0.000145157,0.000145157,0.000145157
105,6452.55,1.75443,1.11418,0.97421,0.84313,0.71778,0.79458,0.34811,1.93259,1.14832,0.97679,0.000127149,0.000127149,0.000127149
106,6513.75,1.77039,1.11975,0.97698,0.85031,0.71444,0.79422,0.34865,1.95886,1.15116,0.97793,0.000109141,0.000109141,0.000109141
107,6574.91,1.77721,1.11276,0.9773,0.8678,0.71333,0.79492,0.35137,1.94116,1.14452,0.97751,9.11327e-05,9.11327e-05,9.11327e-05
108,6636.08,1.7606,1.13474,0.97457,0.85024,0.71444,0.78991,0.34847,1.93684,1.13646,0.97542,7.31245e-05,7.31245e-05,7.31245e-05
109,6697.29,1.74436,1.11167,0.97255,0.84377,0.7141,0.79241,0.34814,1.95311,1.14692,0.97897,5.51164e-05,5.51164e-05,5.51164e-05
110,6758.45,1.75076,1.11491,0.9785,0.84005,0.71778,0.78833,0.34622,1.94827,1.15552,0.97815,3.71082e-05,3.71082e-05,3.71082e-05
